UserId,HomeCity,Gender,FriendCount,CheckInCount,ListCount,MajorCount,PhotoCount,TipCount
18087698,"Санкт-Петербург, Россия",male,23.0,420.0,2.0,0.0,0.0,6.0
29280047,City of St. Petersburg,none,3.0,112.0,2.0,0.0,0.0,1.0
33039954,Санкт-Петербург,female,90.0,5122.0,5.0,0.0,0.0,20.0
24408675,Saint-Petersburg,male,13.0,232.0,2.0,0.0,0.0,3.0
58534915,"Saint-Petersburg, 66",none,22.0,543.0,2.0,0.0,0.0,2.0
90240795,St.-Petersburg,female,12.0,556.0,2.0,0.0,0.0,3.0
82956340,"Saint Petersburg, St.-Petersburg",female,21.0,1351.0,2.0,0.0,0.0,102.0
17584703,"город Санкт-Петербург, Россия",female,23.0,615.0,2.0,0.0,0.0,8.0
38541590,Санкт-Петербург,male,75.0,1832.0,2.0,0.0,0.0,21.0
40961481,Saint Petersburg,female,13.0,1039.0,5.0,0.0,0.0,8.0
52026238,Saint-Petersburg,female,9.0,255.0,3.0,0.0,0.0,2.0
53591497,,female,91.0,1449.0,3.0,0.0,0.0,80.0
49944853,Санкт-Петербург,none,646.0,20.0,2.0,0.0,0.0,15.0
58659692,"Saint-Petersburg, 66",female,26.0,16751.0,12.0,0.0,0.0,112.0
142290098,"Saint Petersburg, St.-Petersburg",male,0.0,19.0,2.0,0.0,0.0,17.0
1080530,"город Москва, Россия",male,156.0,5153.0,17.0,0.0,0.0,116.0
19512407,"Санкт-Петербург, Россия",female,16.0,3489.0,26.0,0.0,0.0,39.0
56133612,"Saint-Petersburg, 66",female,13.0,131.0,2.0,0.0,0.0,5.0
37752967,Saint-Petersburg,female,76.0,1266.0,9.0,0.0,0.0,111.0
24272750,City of St. Petersburg,female,31.0,2911.0,2.0,0.0,0.0,10.0
12286669,"город Санкт-Петербург, Россия",female,95.0,3780.0,12.0,0.0,0.0,11.0
47747214,Moskovsskaya,female,19.0,169.0,2.0,0.0,0.0,14.0
45296002,City of St. Petersburg,female,24.0,66.0,2.0,0.0,0.0,5.0
78192595,Санкт-Петербург,male,65.0,650.0,4.0,0.0,0.0,11.0
26791359,City of St. Petersburg,female,15.0,697.0,2.0,0.0,0.0,6.0
50004994,"Saint-Petersburg, Saint-Petersburg",female,32.0,1122.0,3.0,0.0,0.0,5.0
23101389,City of St. Petersburg,female,68.0,4998.0,4.0,0.0,0.0,15.0
14329855,"город Санкт-Петербург, Россия",female,21.0,2106.0,4.0,0.0,0.0,23.0
2551860,"город Москва, Россия",male,243.0,957.0,2.0,0.0,0.0,3.0
58155232,"Saint-Petersburg, 66",male,6.0,264.0,2.0,0.0,0.0,30.0
5410726,"город Санкт-Петербург, Россия",female,73.0,3507.0,4.0,0.0,0.0,40.0
8474225,"город Санкт-Петербург, Россия",male,67.0,2833.0,2.0,0.0,0.0,101.0
150591061,"Saint Petersburg, Russia",male,3.0,38.0,2.0,0.0,0.0,4.0
583557,"город Москва, Московская область",male,281.0,2935.0,13.0,0.0,0.0,33.0
23011120,City of St. Petersburg,male,115.0,3553.0,2.0,0.0,0.0,9.0
3623017,"город Москва, Россия",female,35.0,3464.0,20.0,0.0,0.0,30.0
24472011,Санкт-Петербург,male,52.0,801.0,3.0,0.0,0.0,3.0
141647640,"Saint Petersburg, Russia",female,0.0,0.0,2.0,0.0,0.0,1.0
43358603,City of St. Petersburg,female,371.0,1631.0,7.0,0.0,0.0,49.0
90136695,"Saint Petersburg, St.-Petersburg",female,20.0,1259.0,2.0,0.0,0.0,15.0
37542059,Екатеринбург,female,13.0,326.0,2.0,0.0,0.0,1.0
48167687,Moskva,female,15.0,817.0,4.0,0.0,0.0,7.0
78448793,"Saint Petersburg, St.-Petersburg",female,28.0,1627.0,2.0,0.0,0.0,1.0
58227685,"Saint-Petersburg, 66",male,70.0,409.0,3.0,0.0,0.0,16.0
84743513,"Saint Petersburg, St.-Petersburg",female,23.0,657.0,2.0,0.0,0.0,23.0
52528783,Fethiye,male,142.0,1258.0,2.0,0.0,0.0,3.0
27838524,"New York, NY",male,68.0,9.0,2.0,0.0,0.0,4.0
55050587,"Saint-Petersburg, 66",male,45.0,901.0,2.0,0.0,0.0,8.0
28741430,Saint-Petersburg ,male,36.0,1321.0,2.0,0.0,0.0,8.0
59311612,"Saint-Petersburg, 66",none,47.0,1388.0,2.0,0.0,0.0,8.0
15777220,Saint-Petersburg,male,396.0,4961.0,4.0,0.0,0.0,23.0
19567528,Edinburgh,female,126.0,7224.0,25.0,0.0,0.0,365.0
21271914,City of St. Petersburg,female,77.0,2058.0,11.0,0.0,0.0,28.0
32759717,"Санкт-Петербург ,Гражданка",male,90.0,4879.0,3.0,0.0,0.0,83.0
49440726,City of St. Petersburg,male,16.0,96.0,3.0,0.0,0.0,4.0
58787357,,male,29.0,1300.0,4.0,0.0,0.0,116.0
19944563,Spb. ,male,61.0,3854.0,3.0,0.0,0.0,73.0
100224925,,female,1.0,0.0,2.0,0.0,0.0,1.0
31770930,"New York, NY",male,157.0,167.0,2.0,0.0,0.0,6.0
22467573,City of St. Petersburg,female,67.0,1859.0,2.0,0.0,0.0,8.0
36910634,Saint Petersburg,male,1.0,35.0,2.0,0.0,0.0,17.0
59117173,"Saint-Petersburg, 66",male,52.0,2342.0,10.0,0.0,0.0,76.0
107222220,,male,0.0,1.0,2.0,0.0,0.0,1.0
23753278,Saint Petersburg,female,45.0,104.0,10.0,0.0,0.0,3.0
91097961,"Saint Petersburg, St.-Petersburg",none,0.0,0.0,2.0,0.0,0.0,6.0
68860194,Saint-Petersburg ,male,13.0,1667.0,2.0,0.0,0.0,129.0
73499311,"Saint-Petersburg, St.-Petersburg",female,0.0,1.0,3.0,0.0,0.0,4.0
47472724,Spb,male,79.0,1168.0,2.0,0.0,0.0,34.0
98166814,"Kyiv, Kyiv City",female,18.0,3400.0,9.0,0.0,0.0,137.0
14930892,"город Москва, Россия",female,100.0,2359.0,5.0,0.0,0.0,65.0
43973478,Москва,female,18.0,145.0,2.0,0.0,0.0,18.0
61675356,Saint-Petersburg,female,5.0,183.0,2.0,0.0,0.0,2.0
20776617,Saint Petersburg,female,39.0,438.0,2.0,0.0,0.0,6.0
39805561,City of St. Petersburg,female,12.0,144.0,6.0,0.0,0.0,24.0
20540703,Moscow,female,53.0,8803.0,15.0,0.0,0.0,135.0
32730056,Санкт-Петербург ,male,32.0,239.0,4.0,0.0,0.0,27.0
48216617,Saint-Petersburg ,male,10.0,23.0,3.0,0.0,0.0,4.0
76966151,,female,3.0,705.0,2.0,0.0,0.0,131.0
113003528,Санкт-Петербург ,female,5.0,161.0,2.0,0.0,0.0,6.0
112889834,,male,1.0,7.0,2.0,0.0,0.0,1.0
14974204,"Moscow, Russia",female,27.0,1147.0,10.0,0.0,0.0,65.0
27278923,Moscow,male,83.0,742.0,3.0,0.0,0.0,50.0
136456532,"Brest, 01",male,0.0,5.0,2.0,0.0,0.0,1.0
6135387,"город Москва, Россия",female,70.0,1505.0,25.0,0.0,0.0,81.0
19005226,saint-petersburg,male,68.0,1458.0,3.0,0.0,0.0,21.0
18883626,"Одинцово, Россия",female,77.0,3851.0,6.0,0.0,0.0,449.0
32860804,Санкт-Петербург,female,123.0,1864.0,4.0,0.0,0.0,14.0
88325819,"Saint Petersburg, St.-Petersburg",male,58.0,1747.0,3.0,0.0,0.0,7.0
14257393,"г. Санкт-Петербург, Россия",male,118.0,2818.0,8.0,0.0,0.0,75.0
14169600,"город Санкт-Петербург, Россия",male,137.0,7950.0,4.0,0.0,0.0,54.0
67123695,"Saint-Petersburg, 66",female,1.0,7.0,2.0,0.0,0.0,1.0
12848960,"город Санкт-Петербург, Россия",male,65.0,1979.0,3.0,0.0,0.0,7.0
88660382,"Saint Petersburg, St.-Petersburg",none,3.0,29.0,2.0,0.0,0.0,14.0
28883712,Санкт-Петербург,female,110.0,3491.0,3.0,0.0,0.0,20.0
20754820,Saint Petersburg,female,79.0,651.0,3.0,0.0,0.0,27.0
65587902,Saint-Petersburg,female,26.0,3573.0,2.0,0.0,0.0,34.0
1181455,Санкт-Петербург,male,112.0,3547.0,13.0,0.0,0.0,80.0
70697282,,male,22.0,135.0,2.0,0.0,0.0,6.0
30172348,"St.Petersburg, Russia",female,23.0,3521.0,19.0,0.0,0.0,38.0
125654447,Kansas,female,0.0,0.0,2.0,0.0,0.0,4.0
60611891,,female,5.0,846.0,2.0,0.0,0.0,104.0
74411163,"Saint-Petersburg, St.-Petersburg",none,0.0,0.0,2.0,0.0,0.0,1.0
62759892,"Chelyabinsk, 13",female,14.0,151.0,2.0,0.0,0.0,34.0
51185101,"Saint-Petersburg, 66",female,21.0,1497.0,6.0,0.0,0.0,23.0
27406519,"Moscow, Russia",male,77.0,521.0,5.0,0.0,0.0,18.0
8023765,"Санкт-Петербург, Россия",female,42.0,5289.0,2.0,0.0,0.0,19.0
49787293,"Saint-Petersburg, Russia",male,9.0,125.0,2.0,0.0,0.0,2.0
75273786,"Saint Petersburg, Russia",female,18.0,2682.0,2.0,0.0,0.0,83.0
10586708,"город Санкт-Петербург, Россия",female,114.0,4040.0,9.0,0.0,0.0,28.0
27420284,City of St. Petersburg,female,38.0,6504.0,4.0,0.0,0.0,37.0
20854965,"St. Petersburg, Russia",male,103.0,6063.0,2.0,0.0,0.0,12.0
30657569,"New York, NY",female,27.0,1135.0,2.0,0.0,0.0,10.0
68554181,Saint-Petersburg,female,29.0,277.0,3.0,0.0,0.0,4.0
29182592,Berlin,female,47.0,4702.0,5.0,0.0,0.0,35.0
36613473,CITY OF ST.PETERSBURG,female,110.0,3662.0,6.0,0.0,0.0,12.0
39291057,City of St. Petersburg,female,287.0,2138.0,14.0,0.0,0.0,26.0
70755413,"Saint-Petersburg, Russia",male,8.0,329.0,4.0,0.0,0.0,19.0
851773,"Санкт-Петербург, Россия",female,139.0,7643.0,4.0,0.0,0.0,20.0
55184664,,female,10.0,322.0,5.0,0.0,0.0,36.0
38668540,Санкт-Петербург,female,38.0,2651.0,6.0,0.0,0.0,12.0
75146919,"Saint-Petersburg, St.-Petersburg",female,10.0,285.0,2.0,0.0,0.0,27.0
10423685,"город Санкт-Петербург, Россия",female,369.0,4383.0,6.0,0.0,0.0,21.0
32936463,Санкт-Петербург,female,45.0,2973.0,10.0,0.0,0.0,22.0
5636643,,male,17.0,1106.0,2.0,0.0,0.0,2.0
22786522,"Tomsk, Russia",male,72.0,1411.0,4.0,0.0,0.0,10.0
71825883,"Saint-Petersburg, 66",female,13.0,585.0,2.0,0.0,0.0,8.0
15076099,"город Санкт-Петербург, Россия",female,22.0,106.0,2.0,0.0,0.0,5.0
70343725,"Saint Petersburg, Russia",female,5.0,667.0,2.0,0.0,0.0,18.0
20507805,City of St. Petersburg,male,26.0,2525.0,2.0,0.0,0.0,14.0
28924091,Saint Petersburg,male,0.0,0.0,2.0,0.0,0.0,1.0
60605871,Великий град Петра,female,2.0,854.0,2.0,0.0,0.0,42.0
66170451,"Saint-Petersburg, 66",female,7.0,1195.0,2.0,0.0,0.0,222.0
12668809,"город Москва, Россия",female,42.0,1058.0,10.0,0.0,0.0,6.0
81418664,"Saint Petersburg, St.-Petersburg",male,8.0,42.0,2.0,0.0,0.0,2.0
8906199,New York,female,103.0,2606.0,5.0,0.0,0.0,8.0
37176064,City of St. Petersburg,female,24.0,2078.0,2.0,0.0,0.0,65.0
125783977,,female,0.0,0.0,2.0,0.0,0.0,1.0
62845734,,female,47.0,239.0,2.0,0.0,0.0,10.0
24032781,Moskva,female,401.0,4380.0,4.0,0.0,0.0,78.0
38965795,City of St. Petersburg,female,25.0,1251.0,2.0,0.0,0.0,19.0
55918310,,none,45.0,1568.0,7.0,0.0,0.0,79.0
127941504,"Korolev, Moskovskaya",female,0.0,78.0,2.0,0.0,0.0,77.0
151797472,"Moscow, 48",female,0.0,4.0,5.0,0.0,0.0,45.0
25173614,Moskva,female,48.0,2802.0,2.0,0.0,0.0,101.0
27815564,Samara,male,72.0,1401.0,13.0,0.0,0.0,28.0
96574108,"Saint Petersburg, St.-Petersburg",none,0.0,12.0,2.0,0.0,0.0,27.0
41206262,City of St. Petersburg,male,51.0,634.0,5.0,0.0,0.0,29.0
93610125,Санкт-Петербург,none,0.0,0.0,2.0,0.0,10.0,6.0
38082009,Санкт-Петербург,female,140.0,5193.0,8.0,0.0,0.0,16.0
1054756,"Moscow, Russia",male,35.0,2095.0,5.0,0.0,0.0,41.0
21989773,Moskovsskaya,female,37.0,306.0,4.0,0.0,0.0,20.0
30204652,"New York, NY",none,14.0,40.0,3.0,0.0,0.0,1.0
30996940,Москва,male,8.0,771.0,4.0,0.0,0.0,59.0
22692675,St. Petersburg,male,98.0,2435.0,5.0,0.0,0.0,17.0
24102364,Moskva,female,5.0,245.0,2.0,0.0,0.0,22.0
33477601,Санкт-Петербург,none,0.0,6.0,2.0,0.0,0.0,1.0
60768125,"Moscow, 48",female,27.0,215.0,2.0,0.0,0.0,6.0
95720819,"Saint Petersburg, St.-Petersburg",female,0.0,0.0,2.0,0.0,0.0,5.0
28594235,City of St. Petersburg,male,235.0,991.0,2.0,0.0,0.0,9.0
57430597,"Saint-Petersburg, 66",male,8.0,44.0,2.0,0.0,0.0,5.0
95916081,"Saint Petersburg, St.-Petersburg",female,0.0,0.0,2.0,0.0,0.0,5.0
28875978,St. Petersburg,male,36.0,2336.0,3.0,0.0,0.0,58.0
33256184,"Saint Petersburg, Russia",female,63.0,2735.0,4.0,0.0,0.0,21.0
328803912,"Saint Petersburg, Russia",female,5.0,198.0,2.0,0.0,0.0,4.0
58626673,"Saint-Petersburg, 66",female,7.0,750.0,3.0,0.0,0.0,3.0
5977339,Moscow,female,38.0,4474.0,3.0,0.0,0.0,43.0
1845186,"город Санкт-Петербург, Россия",male,108.0,879.0,5.0,0.0,0.0,6.0
66179716,"Saint-Petersburg, 66",female,13.0,10.0,2.0,0.0,0.0,4.0
99269740,Primorskiy Kray,female,0.0,10.0,2.0,0.0,0.0,104.0
8079923,Saint-Petersburg,male,71.0,5072.0,3.0,0.0,0.0,36.0
