District,BarId,UserId,Review,MadePhoto,Reaction
Dumskaya,52b89801498eb5da45f72173,16842540,"Второй зал больше подходить для приятного времяпрепровождения, но сотовая связь там бывает работает плохо. Пока нет кужек, только бумажные стаканы.",True,
Dumskaya,52b89801498eb5da45f72173,75385428,Вкусный кофе для кофейни-само собой разумеющийся факт. А вот вкусняшные-йогурты на завтрак-это уже приятное дополнение.;),False,meh
Dumskaya,52b89801498eb5da45f72173,72339793,Самый Питерский старбакс из всех! Очень атмосферно ☕️,True,liked
Dumskaya,52b89801498eb5da45f72173,65235237,"Веселые бариста здесь:) несмотря на суету и обилие туристов сохраняют чувство юмора и позитив! Спасибо вам, ребят)",False,liked
Dumskaya,52b89801498eb5da45f72173,50413443,Тихо..уютно...хорошее место для одиночества )хорошее обслуживание),True,
Dumskaya,52b89801498eb5da45f72173,103174799,"уютно, много света изза больших окон, чудесный вид",True,liked
Dumskaya,52b89801498eb5da45f72173,87646995,"Красивый интерьер, медлительный мальчик на кассе, кучу хипста, все разновидности пластиковой посуды в вашем распоряжении :) карамельный маккиато огонь, цены 🙈🙈🙈",False,
Dumskaya,52b89801498eb5da45f72173,140615546,"Киш с грибами и курицей, книг а про мою бабулечку ветерана блокадницу)))))",True,liked
Dumskaya,52b89801498eb5da45f72173,28853183,"Берите чай в бутылке с ягодами, не то, что липтон или нэсти, этот, как натуральный, и очень вкусный!",False,
Dumskaya,52b89801498eb5da45f72173,29009039,Тут самое лучшее кофе))спасибо за хорошую атмосферу и обслуживание!),False,
Dumskaya,52b89801498eb5da45f72173,140615546,"Отличные кожаные диваны, купил тут чайку по случаю, мятного)))))",True,liked
Dumskaya,52b89801498eb5da45f72173,83496934,"Пил американо и традиционный кофе, оба оказались совершенно ужасными, это даже кофе назвать сложно, напомнило кофейный напиток в детском саду. Тем не менее, внутри посидеть приятно.",False,disliked
Dumskaya,52b89801498eb5da45f72173,86633897,Здесь очень уютная обстановка. Приятная музыка. Доброжелательный и позитивный персонал ☺,False,liked
Dumskaya,52b89801498eb5da45f72173,57728837,"Очень домашний старбакс! Народу немного, вид чудесный! Но не так много розеток, как в других",False,
Dumskaya,52b89801498eb5da45f72173,1143823,"Работают с 7-30, есть соевое молоко, декафеинезированные сорта кофе",True,liked
Dumskaya,52b89801498eb5da45f72173,19232127,"Cozy place, with good service and friendly staff. :)",False,
Dumskaya,52b89801498eb5da45f72173,70904812,"Все кофейные напитки в Starbucks просто изумительные. Готовят их, что прям пальчики оближешь.",False,liked
Dumskaya,52b89801498eb5da45f72173,28421418,"Очень атмосферно,потрясающий дизайн.Почувствовала себя снова в Cali!☕️🇺🇸",False,
Dumskaya,52b89801498eb5da45f72173,58269700,"Very good location, with the nice view on Kazan Cathedral.",False,liked
Dumskaya,52b89801498eb5da45f72173,57728837,"Тыквенный, а теперь и имбирный латте очень уж сладкие! Мой выбор неизменен - классический апучино",False,
Dumskaya,52b89801498eb5da45f72173,85121395,Самый атмосферный Starbucks в городе. По стилю очень напоминает Нью-Йоркские кофейни,False,liked
Dumskaya,52b89801498eb5da45f72173,6101934,"Тут отлично, прохладно, мало народу и красиво.",True,
Dumskaya,52b89801498eb5da45f72173,61096672,"Чудесный, уютный Старбакс. Два шага - и ты на Невском или у Казанского собора)",False,
Dumskaya,52b89801498eb5da45f72173,48005367,вкуснейший сезонный кофе! но ребятки под конец дня уже очень уставшие и неприветливые ¯\_(ツ)_/¯,True,liked
Dumskaya,52b89801498eb5da45f72173,1000355,The best one Starbucks in the city - visit when snowing ❄️❄️❄️,False,
Dumskaya,52b89801498eb5da45f72173,135867406,Отличное место! Рекомендую посетить!,True,
Dumskaya,52b89801498eb5da45f72173,35655638,"Этот Старбакс явно не для того, чтобы спокойно насладиться чашечкой кофе - столиков очень мало и они слишком близко друг к другу. А вот чтобы заскочить и взять кофе to go - в самый раз.",False,liked
Dumskaya,52b89801498eb5da45f72173,27880683,Свежесваренный кофе (фильтрованный) ужасен.   Берите напитки на базе эспрессо. Получите узнаваемый вкус пережаренного кофе :),False,
Dumskaya,52b89801498eb5da45f72173,25447207,Chocolate cake as a special treat for the main chocolate-lovers,False,liked
Dumskaya,52b89801498eb5da45f72173,116415953,Очень уютная и большая кофейня,True,
Dumskaya,52b89801498eb5da45f72173,43230277,"Неплохой вид из окна, ну и разумеется отличные напитки в придачу)",False,liked
Dumskaya,52b89801498eb5da45f72173,24336100,Один из уютных и больших Starbucks в городе. Два зала.,False,liked
Dumskaya,52b89801498eb5da45f72173,21677176,"Как хорошо, что открыли новый стар напротив и здесь стало еще меньше народу ☺️ лучший стар в Европе",False,meh
Dumskaya,52b89801498eb5da45f72173,53609514,"Очень клевое, старое здание. Ягодный донат числится новинкой, хотя я ел его еще несколько лет назад.",False,liked
Dumskaya,52b89801498eb5da45f72173,150323215,"Все отлично. Дизайн, Бариста, кофе, чай, всегда есть Evian",False,liked
Dumskaya,52b89801498eb5da45f72173,84301848,Очень вкусный горячий шоколад с мятой! Как расплавленные конфеты after eight😊,False,liked
Dumskaya,52b89801498eb5da45f72173,10127545,Appears to be my favorite Starbucks in St. Petersburg,False,
Dumskaya,52b89801498eb5da45f72173,132795789,"Очень грустно, когда готовят просто ужаснейший перегретый капучино, с пузыристой водянистой печкой в таком атмосферном месте, в кофейне с великой историей.",False,disliked
Dumskaya,52b89801498eb5da45f72173,77426165,Прекрасный интерьер и чудесные бариста!),False,liked
Dumskaya,52b89801498eb5da45f72173,26725867,"Отличные новые стаканчики с новогодним сюжетом;) ну, это старбакс)",False,liked
Dumskaya,52b89801498eb5da45f72173,4936536,Entrance is 250 rub for adults,True,liked
Dumskaya,52b89801498eb5da45f72173,29671585,#кофе #вкусно #десерт #уютно,True,liked
Dumskaya,52b89801498eb5da45f72173,45606576,"В Питере я еще не был здесь, прекрасный вид из окна и отличный капучино",False,liked
Dumskaya,52b89801498eb5da45f72173,39678803,"Вкусно, мило, рядом с учебой;) идеально, в общем то!",False,liked
Dumskaya,52b89801498eb5da45f72173,14645546,"Приятный вид из окна, уютные кружки и тепло",False,liked
Dumskaya,52b89801498eb5da45f72173,74210615,"Приятный кофе, улыбчивый персонал, большие чашки.",False,liked
Dumskaya,52b89801498eb5da45f72173,43470615,"Очень классный интерьер, просторно. Внутренний дворик, но пока закрыт.",False,
Dumskaya,52b89801498eb5da45f72173,103025481,шикарный вид и не менее шикарный фраппучино!,False,liked
Dumskaya,52b89801498eb5da45f72173,80249000,"Кофе, как всегда, на уровне. Весёлые бариста.",False,liked
Dumskaya,52b89801498eb5da45f72173,59412991,Шикарный кофе. Просто вне конкуренции))),False,liked
Dumskaya,52b89801498eb5da45f72173,38975550,"Приятный полумрак, во втором зале хорошие диванчики",False,liked
Dumskaya,52b89801498eb5da45f72173,121015972,Тёплая и уютная атмосфера 👼🏼 советую 👌🏻,False,liked
Dumskaya,52b89801498eb5da45f72173,83812444,"Обслуживанеи достаточно быстрое и приветливое, народу даже днем немало.",False,liked
Dumskaya,52b89801498eb5da45f72173,83925233,"Очень красивый борд, ребята!",True,
Dumskaya,52b89801498eb5da45f72173,146273039,Очень нравится этот Старбакс. Уютно и вкусно),False,liked
Dumskaya,52b89801498eb5da45f72173,70937641,There are cheaper places with good coffee.,False,meh
Dumskaya,52b89801498eb5da45f72173,44244559,Apple pay тут можно испытать ))),False,liked
Dumskaya,52b89801498eb5da45f72173,160789350,There you can find wonderful Starbucks thermos with Russian patterns!,False,liked
Dumskaya,52b89801498eb5da45f72173,40192527,Очень красивый интерьер!,True,
Dumskaya,52b89801498eb5da45f72173,29972462,Всегда много народу. Недешево.,False,
Dumskaya,52b89801498eb5da45f72173,38165603,Самое вкусное кофе тут)),True,liked
Dumskaya,52b89801498eb5da45f72173,89676998,"Имбирный капучино очень сладкий, морковный пирог просто прелесть",False,liked
Dumskaya,52b89801498eb5da45f72173,67675465,Обалденные  сэндвичи с охрустенительными булками😻😻😻😻😻😻😻,False,liked
Dumskaya,52b89801498eb5da45f72173,10387300,Розетки у окна с видом на Казанский собор,False,liked
Dumskaya,52b89801498eb5da45f72173,91417413,Скучный интерьер. Приятное обслуживание. Вкусный кофе и десерты.,False,liked
Dumskaya,52b89801498eb5da45f72173,19701591,"Старбакс он и есть Старбакс. Это бренд. Цены на кофе завышены, о кофейных напитках со сливками и сиропами я вообще молчу. Местоположение классное, но неуютно здесь и контингент весьма сомнительный.",False,meh
Dumskaya,52b89801498eb5da45f72173,14019073,Самый спокойный старбакс в центре,True,
Dumskaya,52b89801498eb5da45f72173,58882342,Очень прикольные светильники,True,
Dumskaya,52b89801498eb5da45f72173,81428803,Шикарный латте с мятным сиропом,False,
Dumskaya,52b89801498eb5da45f72173,9713704,"Надежно приличный кофе, но столики не очень удобные и интерьеру не хватает уюта",False,meh
Dumskaya,52b89801498eb5da45f72173,40972492,Старбаксище наиболее уютный из имеющихся),False,liked
Dumskaya,52b89801498eb5da45f72173,45846091,Самый крутой столик  у окна  😉,False,
Dumskaya,52b89801498eb5da45f72173,63457231,"Нет бутеров, столики даже кофе не поместить... А так все хорошо...",False,
Dumskaya,52b89801498eb5da45f72173,52618136,Доброжелательный персонал и вкусный пряный чай латте,False,liked
Dumskaya,52b89801498eb5da45f72173,87161327,Любимый американо!,True,liked
Dumskaya,52b89801498eb5da45f72173,14062500,Take a cup of coffee and enjoy beautiful view,False,
Dumskaya,52b89801498eb5da45f72173,36214462,"Роллы с лососем хороши, если хочется съесть что-то существенное",False,liked
Dumskaya,52b89801498eb5da45f72173,29506962,Старбакс как старбакс. Красивый вид у окна.,False,meh
Dumskaya,52b89801498eb5da45f72173,58427855,"Толл латте, карамельный сироп, руку и сердце!😂😂😂",False,
Dumskaya,52b89801498eb5da45f72173,78598177,"Классный интерьер, вкусный кофе!",False,
